"STATECD","STATENM","UNITCD","RSCD","variable","STATUSCD","CRM","CRM2","DIFF","PDIFF","VAR2"
1,"Alabama",1,33,"BIOMASS",1,219627344438.968,239152911614.254,19525567175.2862,8.89031701638232,"Total aboveground biomass"
1,"Alabama",1,33,"CARBON",1,109813672677.683,114676913738.292,4863241060.6096,4.42862982543517,"Total aboveground carbon"
1,"Alabama",1,33,"VMERIB",1,4410926531.01537,4392534250.88877,-18392280.1265984,-0.416970901629699,"Merchantable wood volume"
1,"Alabama",1,33,"VSAWIB",1,2304982887.87109,2262661382.68603,-42321505.1850667,-1.83608760862235,"Sawlog wood volume"
1,"Alabama",1,33,"WMERBCH",1,32264991922.0293,42931121507.4824,10666129585.4531,33.0579025441215,"Top and limb weight"
1,"Alabama",1,33,"WMEROB",1,155784989161.882,159810946099.238,4025956937.35602,2.58430350640041,"Merch bole wood and bark weight"
1,"Alabama",1,33,"WSTPOB",1,10327751372.4724,10136237534.7106,-191513837.76174,-1.85436142733066,"Stump wood and bark weight"
1,"Alabama",5,33,"BIOMASS",1,416090963973.479,462663320060.666,46572356087.187,11.1928304432382,"Total aboveground biomass"
1,"Alabama",5,33,"CARBON",1,208045482883.388,219109305148.533,11063822265.1444,5.31798244874452,"Total aboveground carbon"
1,"Alabama",5,33,"VMERIB",1,8152671409.46755,8348844298.48735,196172889.019801,2.40624059485568,"Merchantable wood volume"
1,"Alabama",5,33,"WMERBCH",1,64854122581.0995,95001400645.558,30147278064.4585,46.484752032162,"Top and limb weight"
1,"Alabama",5,33,"WMEROB",1,293541001269.769,302592781305.389,9051780035.61957,3.08365100495819,"Merch bole wood and bark weight"
1,"Alabama",5,33,"WSTPOB",1,18290536701.3201,17044028339.5885,-1246508361.73158,-6.81504529958172,"Stump wood and bark weight"
1,"Alabama",3,33,"BIOMASS",1,538375679459.466,600354932217.438,61979252757.9714,11.5122683142372,"Total aboveground biomass"
1,"Alabama",3,33,"CARBON",1,269187840807.276,283738792752.684,14550951945.408,5.40550119268785,"Total aboveground carbon"
1,"Alabama",3,33,"VMERIB",1,10863730263.0965,10948612208.557,84881945.4605389,0.781333330309923,"Merchantable wood volume"
1,"Alabama",3,33,"WMERBCH",1,82607373386.2909,121849346892.065,39241973505.7741,47.5042019823941,"Top and limb weight"
1,"Alabama",3,33,"WMEROB",1,380573356880.253,391835212134.039,11261855253.7854,2.95918120651019,"Merch bole wood and bark weight"
1,"Alabama",3,33,"WSTPOB",1,23560116529.4303,22758128874.0383,-801987655.392048,-3.40400546996547,"Stump wood and bark weight"
1,"Alabama",3,33,"VSAWIB",1,5672965107.74903,5666144966.80636,-6820140.94266224,-0.120221803115733,"Sawlog wood volume"
1,"Alabama",4,33,"BIOMASS",1,308284985253.108,338191591497.961,29906606244.8523,9.70096101835721,"Total aboveground biomass"
1,"Alabama",4,33,"CARBON",1,154142493347.968,159988392028.14,5845898680.17188,3.79252894720931,"Total aboveground carbon"
1,"Alabama",4,33,"VMERIB",1,6132808984.07235,6200643934.98776,67834950.91541,1.10609919682132,"Merchantable wood volume"
1,"Alabama",4,33,"WMERBCH",1,47394083333.5394,65547017843.5216,18152934509.9823,38.3021112197269,"Top and limb weight"
1,"Alabama",4,33,"WMEROB",1,215860057507.029,220105164405.212,4245106898.1835,1.9666013931481,"Merch bole wood and bark weight"
1,"Alabama",4,33,"WSTPOB",1,13464863112.1011,12867956215.8109,-596906896.290257,-4.4330706619201,"Stump wood and bark weight"
1,"Alabama",4,33,"VSAWIB",1,3350653753.27673,3365244761.48893,14591008.2121964,0.435467502362106,"Sawlog wood volume"
1,"Alabama",5,33,"VSAWIB",1,4620025606.97088,4687567694.86123,67542087.8903418,1.46194185132722,"Sawlog wood volume"
